cik,ticker,year_old,year_new,filepath,n_added,n_removed,similarity,added_ratio
895126,CHK,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/895126_2015_2016.json,200,104,0.046,0.6154
895126,CHK,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/895126_2016_2017.json,121,128,0.0616,0.3817
895126,CHK,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/895126_2017_2018.json,126,167,0.2327,0.4565
895126,CHK,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/895126_2018_2019.json,191,115,0.304,0.5426
895126,CHK,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/895126_2019_2020.json,126,137,0.1127,0.3706
895126,CHK,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/895126_2020_2021.json,133,165,0.0326,0.4318
895126,CHK,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/895126_2021_2022.json,215,104,0.024,0.4988
895126,CHK,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/895126_2022_2023.json,161,259,0.0246,0.4985
1018724,AMZN,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/1018724_2015_2016.json,31,30,0.8674,0.1623
1018724,AMZN,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/1018724_2016_2017.json,28,28,0.9475,0.1466
1018724,AMZN,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/1018724_2017_2018.json,37,26,0.9025,0.1832
1018724,AMZN,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/1018724_2018_2019.json,57,69,0.6794,0.3
1018724,AMZN,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/1018724_2019_2020.json,102,95,0.5368,0.5178
1018724,AMZN,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/1018724_2020_2021.json,31,37,0.0566,0.1623
1018724,AMZN,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/1018724_2021_2022.json,42,36,0.7926,0.2132
1018724,AMZN,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/1018724_2022_2023.json,47,36,0.4736,0.226
