ticker,company_name,sector,cik
AAPL,Apple Inc.,Information Technology,320193
MSFT,Microsoft Corp.,Information Technology,789019
GOOGL,Alphabet Inc.,Information Technology,1652044
META,Meta Platforms,Information Technology,1326801
INTC,Intel Corp.,Information Technology,50863
CSCO,Cisco Systems,Information Technology,858877
IBM,IBM Corp.,Information Technology,51143
ORCL,Oracle Corp.,Information Technology,1341439
QCOM,Qualcomm Inc.,Information Technology,804328
TXN,Texas Instruments,Information Technology,97476
AMAT,Applied Materials,Information Technology,796343
ADI,Analog Devices,Information Technology,6845
KLAC,KLA Corp.,Information Technology,319201
LRCX,Lam Research,Information Technology,707549
MU,Micron Technology,Information Technology,723125
NVDA,NVIDIA Corp.,Information Technology,1045810
HPQ,HP Inc.,Information Technology,47217
HPE,Hewlett Packard Enterprise,Information Technology,1645590
DELL,Dell Technologies,Information Technology,826083
ACN,Accenture Plc,Information Technology,1467373
ADP,Automatic Data Processing,Information Technology,12927
CTSH,Cognizant Technology,Information Technology,1058290
FIS,Fidelity National Info,Information Technology,798354
FISV,Fiserv Inc.,Information Technology,798354
GPN,Global Payments,Information Technology,1123360
PAYX,Paychex Inc.,Information Technology,723531
WU,Western Union,Information Technology,1365135
JNPR,Juniper Networks,Information Technology,1043604
FFIV,F5 Inc.,Information Technology,1048695
CDNS,Cadence Design Systems,Information Technology,813672
SNPS,Synopsys Inc.,Information Technology,883241
ANSS,Ansys Inc.,Information Technology,820081
PTC,PTC Inc.,Information Technology,857005
VRSN,VeriSign Inc.,Information Technology,1014473
AKAM,Akamai Technologies,Information Technology,1086222
CTXS,Citrix Systems,Information Technology,877890
CA,CA Technologies,Information Technology,356028
BMC,BMC Software,Information Technology,713800
XRX,Xerox Holdings,Information Technology,108772
NCR,NCR Corp.,Information Technology,70866
FLIR,FLIR Systems,Information Technology,354187
TDC,Teradata Corp.,Information Technology,816761
SYMC,Broadcom (Symantec legacy),Information Technology,849399
NLOK,NortonLifeLock,Information Technology,849399
STX,Seagate Technology,Information Technology,1137789
WDC,Western Digital,Information Technology,106040
NTAP,NetApp Inc.,Information Technology,1002047
VIAVI,Viavi Solutions,Information Technology,1000230
JDSU,Viavi Solutions (legacy),Information Technology,1000230
GLW,Corning Inc.,Information Technology,24741
APH,Amphenol Corp.,Information Technology,820313
TEL,TE Connectivity,Information Technology,1385157
MXIM,Maxim Integrated,Information Technology,743316
LSI,LSI Corp.,Information Technology,703361
BRCM,Broadcom (legacy),Information Technology,1054374
AVGO,Broadcom Inc.,Information Technology,1730168
SWKS,Skyworks Solutions,Information Technology,4127
QRVO,Qorvo Inc.,Information Technology,1601712
MCHP,Microchip Technology,Information Technology,827054
XLNX,Xilinx Inc.,Information Technology,743988
AMD,Advanced Micro Devices,Information Technology,2488
NXPI,NXP Semiconductors,Information Technology,1413447
ON,ON Semiconductor,Information Technology,861284
MPWR,Monolithic Power Systems,Information Technology,1280452
ENPH,Enphase Energy,Information Technology,1463101
JNJ,Johnson & Johnson,Health Care,200406
PFE,Pfizer Inc.,Health Care,78003
MRK,Merck & Co.,Health Care,310158
ABT,Abbott Laboratories,Health Care,1800
ABBV,AbbVie Inc.,Health Care,1551152
BMY,Bristol-Myers Squibb,Health Care,14272
LLY,Eli Lilly,Health Care,59478
AMGN,Amgen Inc.,Health Care,318154
GILD,Gilead Sciences,Health Care,882095
BIIB,Biogen Inc.,Health Care,875045
CELG,Celgene Corp.,Health Care,816956
REGN,Regeneron Pharmaceuticals,Health Care,872589
VRTX,Vertex Pharmaceuticals,Health Care,875320
ALXN,Alexion Pharmaceuticals,Health Care,899923
ISRG,Intuitive Surgical,Health Care,1035267
BSX,Boston Scientific,Health Care,885978
MDT,Medtronic Plc,Health Care,1613103
EW,Edwards Lifesciences,Health Care,1099800
SYK,Stryker Corp.,Health Care,310764
ZBH,Zimmer Biomet,Health Care,1136893
BAX,Baxter International,Health Care,10456
BDX,Becton Dickinson,Health Care,10795
DHR,Danaher Corp.,Health Care,313616
TMO,Thermo Fisher Scientific,Health Care,97745
A,Agilent Technologies,Health Care,1090872
VAR,Varian Medical Systems,Health Care,203527
HAE,Haemonetics Corp.,Health Care,313914
UNH,UnitedHealth Group,Health Care,731766
CVS,CVS Health,Health Care,723254
CI,Cigna Corp.,Health Care,1739940
AET,Aetna Inc.,Health Care,1122304
HUM,Humana Inc.,Health Care,49071
HCA,HCA Healthcare,Health Care,860731
THC,Tenet Healthcare,Health Care,93557
DVA,DaVita Inc.,Health Care,927066
LH,Laboratory Corp.,Health Care,920148
DGX,Quest Diagnostics,Health Care,920148
IQV,IQVIA Holdings,Health Care,1478930
MHS,Medco Health Solutions,Health Care,1071739
ESRX,Express Scripts,Health Care,1532063
MCK,McKesson Corp.,Health Care,927653
ABC,AmerisourceBergen,Health Care,1140859
CAH,Cardinal Health,Health Care,721371
PDCO,Patterson Cos.,Health Care,891024
WBA,Walgreens Boots Alliance,Health Care,1601712
RAD,Rite Aid Corp.,Health Care,84129
ZTS,Zoetis Inc.,Health Care,1555280
