cik,ticker,year_old,year_new,n_classified,risk_update_intensity,boilerplate_ratio,vagueness_ratio,n_added_total,similarity,added_ratio,risk_operational,risk_cyber,risk_regulatory,risk_supply_chain,risk_financing,risk_macroeconomic,risk_other,sector,company_name
14272,BMY,2015,2016,37,0,0.0,,41,0.5989,0.3203,0,0,0,0,0,0,0,Health Care,Bristol-Myers Squibb
14272,BMY,2016,2017,57,0,0.0,,71,0.2926,0.5182,0,0,0,0,0,0,0,Health Care,Bristol-Myers Squibb
14272,BMY,2017,2018,56,0,0.0,,68,0.0875,0.4277,0,0,0,0,0,0,0,Health Care,Bristol-Myers Squibb
14272,BMY,2018,2019,90,0,0.0,,100,0.1924,0.4808,0,0,0,0,0,0,0,Health Care,Bristol-Myers Squibb
14272,BMY,2019,2020,120,0,0.0,,138,0.0562,0.5974,0,0,0,0,0,0,0,Health Care,Bristol-Myers Squibb
14272,BMY,2020,2021,137,99,0.2773722627737226,0.45255474452554745,153,0.0915,0.5258,34,4,62,12,9,14,2,Health Care,Bristol-Myers Squibb
14272,BMY,2021,2022,114,71,0.37719298245614036,0.49122807017543857,127,0.1187,0.4006,32,6,40,11,11,12,2,Health Care,Bristol-Myers Squibb
14272,BMY,2022,2023,90,60,0.3333333333333333,0.4444444444444444,107,0.4275,0.428,23,7,37,8,6,8,1,Health Care,Bristol-Myers Squibb
97745,TMO,2015,2016,23,13,0.43478260869565216,0.5217391304347826,31,0.0456,0.1824,7,1,4,1,4,5,1,Health Care,Thermo Fisher Scientific
97745,TMO,2016,2017,28,18,0.35714285714285715,0.39285714285714285,33,0.5936,0.2025,3,3,8,0,6,6,2,Health Care,Thermo Fisher Scientific
97745,TMO,2017,2018,44,22,0.5,0.45454545454545453,53,0.5291,0.2896,15,3,15,1,4,5,1,Health Care,Thermo Fisher Scientific
97745,TMO,2018,2019,30,14,0.5333333333333333,0.4666666666666667,39,0.2081,0.2021,4,4,11,1,2,6,2,Health Care,Thermo Fisher Scientific
97745,TMO,2019,2020,48,25,0.4791666666666667,0.6041666666666666,53,0.6694,0.2524,8,1,12,8,5,9,5,Health Care,Thermo Fisher Scientific
97745,TMO,2020,2021,56,30,0.4642857142857143,0.48214285714285715,59,0.1638,0.2622,17,2,5,6,8,18,0,Health Care,Thermo Fisher Scientific
97745,TMO,2021,2022,61,32,0.47540983606557374,0.5901639344262295,72,0.4002,0.2988,21,3,21,1,7,8,0,Health Care,Thermo Fisher Scientific
97745,TMO,2022,2023,48,23,0.5208333333333334,0.5,53,0.2981,0.2255,14,1,11,5,9,8,0,Health Care,Thermo Fisher Scientific
100885,UNP,2022,2023,32,23,0.28125,0.5,34,0.706,0.3063,14,4,2,2,2,8,0,Industrials,Union Pacific Corp.
354950,HD,2015,2016,57,36,0.3684210526315789,0.49122807017543857,58,0.3447,0.4113,32,12,5,3,0,4,1,Consumer Discretionary,Home Depot
