cik,ticker,year_old,year_new,filepath,n_added,n_removed,similarity,added_ratio
14272,BMY,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/14272_2015_2016.json,41,48,0.5989,0.3203
14272,BMY,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/14272_2016_2017.json,71,62,0.2926,0.5182
14272,BMY,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/14272_2017_2018.json,68,46,0.0875,0.4277
14272,BMY,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/14272_2018_2019.json,100,51,0.1924,0.4808
14272,BMY,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/14272_2019_2020.json,138,115,0.0562,0.5974
14272,BMY,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/14272_2020_2021.json,153,93,0.0915,0.5258
14272,BMY,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/14272_2021_2022.json,127,100,0.1187,0.4006
14272,BMY,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/14272_2022_2023.json,107,174,0.4275,0.428
97745,TMO,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/97745_2015_2016.json,31,43,0.0456,0.1824
97745,TMO,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/97745_2016_2017.json,33,40,0.5936,0.2025
97745,TMO,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/97745_2017_2018.json,53,33,0.5291,0.2896
97745,TMO,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/97745_2018_2019.json,39,29,0.2081,0.2021
97745,TMO,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/97745_2019_2020.json,53,37,0.6694,0.2524
97745,TMO,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/97745_2020_2021.json,59,44,0.1638,0.2622
97745,TMO,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/97745_2021_2022.json,72,56,0.4002,0.2988
97745,TMO,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/97745_2022_2023.json,53,59,0.2981,0.2255
100885,UNP,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/100885_2022_2023.json,34,36,0.706,0.3063
354950,HD,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/354950_2015_2016.json,58,54,0.3447,0.4113
354950,HD,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/354950_2016_2017.json,65,63,0.2021,0.4545
354950,HD,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/354950_2017_2018.json,92,64,0.3161,0.538
354950,HD,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/354950_2018_2019.json,80,64,0.41,0.4278
354950,HD,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/354950_2019_2020.json,84,57,0.6195,0.3925
354950,HD,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/354950_2020_2021.json,161,112,0.2608,0.6122
354950,HD,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/354950_2021_2022.json,127,125,0.2025,0.4792
354950,HD,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/354950_2022_2023.json,142,143,0.1222,0.5379
40533,GE,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/40533_2015_2016.json,46,47,0.6832,0.4
40533,GE,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/40533_2016_2017.json,25,23,0.6784,0.2137
40533,GE,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/40533_2017_2018.json,15,16,0.7676,0.1293
40533,GE,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/40533_2018_2019.json,28,19,0.8637,0.224
40533,GE,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/40533_2019_2020.json,23,29,0.4325,0.1933
40533,GE,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/40533_2020_2021.json,28,18,0.6951,0.2171
40533,GE,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/40533_2021_2022.json,28,23,0.6495,0.209
40533,GE,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/40533_2022_2023.json,64,57,0.6551,0.4539
60667,LOW,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/60667_2015_2016.json,99,54,0.2191,0.6781
60667,LOW,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/60667_2016_2017.json,59,65,0.3804,0.4214
60667,LOW,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/60667_2017_2018.json,52,29,0.2898,0.319
60667,LOW,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/60667_2018_2019.json,58,36,0.0211,0.3135
60667,LOW,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/60667_2019_2020.json,48,59,0.5954,0.2759
60667,LOW,2020,2021,/Users/timtonnaer/risk_project/outputs/diffs/60667_2020_2021.json,61,51,0.1318,0.3333
60667,LOW,2021,2022,/Users/timtonnaer/risk_project/outputs/diffs/60667_2021_2022.json,115,81,0.2467,0.53
60667,LOW,2022,2023,/Users/timtonnaer/risk_project/outputs/diffs/60667_2022_2023.json,92,87,0.3079,0.4144
19617,JPM,2015,2016,/Users/timtonnaer/risk_project/outputs/diffs/19617_2015_2016.json,151,129,0.0621,0.5412
19617,JPM,2016,2017,/Users/timtonnaer/risk_project/outputs/diffs/19617_2016_2017.json,173,128,0.1504,0.534
19617,JPM,2017,2018,/Users/timtonnaer/risk_project/outputs/diffs/19617_2017_2018.json,415,313,0.0098,0.9742
19617,JPM,2018,2019,/Users/timtonnaer/risk_project/outputs/diffs/19617_2018_2019.json,292,235,0.1351,0.6046
19617,JPM,2019,2020,/Users/timtonnaer/risk_project/outputs/diffs/19617_2019_2020.json,163,198,0.2606,0.3638
